Unnamed: 0,id,name,address,postal_code,services,lat,lng
0,84921, Arabianrannan,"Hämeentie 135 A, 00560 Helsinki",560,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Ukulele', 'Open on Saturdays']",60.208279250000004,24.976484467258203
1,84849, Auroran sairaalan,"Nordenskiöldinkatu 20, 00250 Helsinki",250,"['E-Library (e-books, audiobooks, digital magazines)']",60.1925849,24.924308448262174
2,84787, Entressen,"Siltakatu 11, 02770 Espoo",2770,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Quiet Working Space', 'Image Digitization', 'Open on Saturdays']",60.2039183,24.6604084
3,84878, Etelä-Haagan,"Isonnevantie 16 B, 00320 Helsinki",320,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Return Slot', 'Exhibition Space', 'Fitness Equipment', 'Open on Saturdays']",60.213889699999996,24.891785843
4,84869, Hakunilan,"Kimokuja 5, 01200 Vantaa",1200,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Exhibition Space', 'Open on Saturdays']",60.2773539,25.1031716
5,84918, Haukilahden,"Toppelundintie 11, 02170 Espoo",2170,"['E-Library (e-books, audiobooks, digital magazines)', 'Digital Support', 'Return Slot', 'Open on Saturdays']",60.1600343,24.7831279
6,86476, Keskustakirjasto,"Töölönlahdenkatu 4, 00100 Helsinki",100,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Photo and Video Studio', '3D Printers', 'Citizen Balcony', 'Rainbow Shelf', 'Games', 'Overlock Sewing Machines', 'Stroller Parking', 'Dogs Prohibited', 'Sewing Machines', 'Band and Vocal Studio', 'Editing Studio', 'Open on Saturdays']",60.1741861,24.9378675
7,84911, Herttoniemen,"Linnanrakentajantie 2, 00880 Helsinki",880,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'E-Newspaper Reading Devices', 'Cordless Drill/Screwdriver', 'Exhibition Space', 'Open on Saturdays']",60.1938949,25.0339732
8,84872, Hiekkaharjun,"Urheilutie 4, 01370 Vantaa",1370,"['E-Library (e-books, audiobooks, digital magazines)']",60.29590985,25.058786256141182
9,84834, Ison Omenan,"Suomenlahdentie 1, 02230 Espoo",2230,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Quiet Working Space', '3D Printers', 'Tools', 'Open on Saturdays']",60.1603971,24.740216216224976
10,84927, Itäkeskuksen,"Turunlinnantie 1, 00900 Helsinki",900,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Sewing Machines', 'Digitization Device', 'Open on Saturdays']",60.212138350000004,25.080254158189547
11,84854, Jakomäen,"Jakomäenpolku 3, 00770 Helsinki",770,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Fitness Equipment', 'Open on Saturdays']",60.2605061,25.0762760519889
12,86406, Jätkäsaaren,"Tyynenmerenkatu 1, 00220 Helsinki",220,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Open on Saturdays']",60.1599869,24.9208571
13,84833, Kalajärven,"Ruskaniitty 4, 02970 Espoo",2970,"['E-Library (e-books, audiobooks, digital magazines)', 'Digital Support', 'Open on Saturdays']",60.3060659,24.739365479709676
14,86738, Kalasataman,"Hermannin rantatie 5, 00580 Helsinki",580,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Loanable Korkeasaari Season Ticket', 'Open on Saturdays']",60.1862665,24.9783567
15,84860, Kallion,"Viides linja 11, 00530 Helsinki",530,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Quiet Working Space', 'Rainbow Shelf', 'Exhibition Space', 'Open on Saturdays']",60.183606749999996,24.95362697883778
